Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Life,ABW,65.57,65.99,66.37,66.71,67.04,67.37,67.70,68.03,68.38,68.73,69.09,69.45,69.80,70.14,70.47,70.78,71.08,71.38,71.67,71.95,72.22,72.46,72.67,72.85,72.99,73.10,73.18,73.24,73.30,73.34,73.39,73.43,73.47,73.51,73.54,73.56,73.59,73.61,73.64,73.68,73.72,73.78,73.87,73.97,74.09,74.23,74.38,74.53,74.68,74.82,74.95,75.08,75.21,75.33,75.45
Life,ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life,AFG,32.33,32.78,33.22,33.66,34.09,34.53,34.96,35.39,35.82,36.26,36.70,37.15,37.61,38.08,38.56,39.06,39.58,40.11,40.67,41.25,41.87,42.53,43.23,43.98,44.76,45.58,46.43,47.30,48.17,49.03,49.86,50.64,51.36,52.02,52.61,53.14,53.60,54.02,54.40,54.77,55.13,55.49,55.86,56.24,56.63,57.03,57.43,57.83,58.23,58.60,58.97,59.33,59.68,60.03,60.37
Life,AGO,32.98,33.39,33.79,34.19,34.59,34.99,35.40,35.80,36.21,36.61,37.02,37.42,37.83,38.23,38.61,38.98,39.30,39.58,39.82,40.01,40.16,40.29,40.41,40.53,40.65,40.78,40.89,40.97,41.04,41.09,41.14,41.21,41.31,41.48,41.72,42.05,42.50,43.06,43.71,44.44,45.20,45.97,46.71,47.39,48.00,48.54,49.01,49.44,49.85,50.25,50.65,51.06,51.46,51.87,52.27
Life,ALB,62.25,63.27,64.16,64.89,65.44,65.83,66.09,66.29,66.47,66.68,66.93,67.24,67.59,67.96,68.35,68.74,69.12,69.46,69.75,70.01,70.24,70.45,70.69,70.94,71.21,71.47,71.70,71.86,71.95,71.98,71.96,71.92,71.90,71.94,72.04,72.24,72.53,72.90,73.33,73.79,74.27,74.73,75.15,75.52,75.83,76.08,76.29,76.47,76.65,76.84,77.04,77.24,77.44,77.64,77.83
Life,ARE,52.24,53.29,54.33,55.36,56.39,57.41,58.39,59.34,60.24,61.10,61.90,62.65,63.37,64.04,64.69,65.31,65.89,66.45,66.99,67.50,67.98,68.45,68.88,69.30,69.70,70.08,70.44,70.78,71.10,71.42,71.72,72.01,72.30,72.57,72.85,73.12,73.38,73.65,73.92,74.19,74.45,74.71,74.97,75.22,75.46,75.69,75.90,76.11,76.31,76.49,76.68,76.85,77.02,77.20,77.37
Life,ARG,65.22,65.34,65.43,65.51,65.58,65.67,65.78,65.93,66.11,66.34,66.59,66.87,67.17,67.47,67.76,68.05,68.34,68.63,68.93,69.22,69.51,69.79,70.04,70.26,70.45,70.63,70.80,70.97,71.15,71.34,71.54,71.76,71.99,72.22,72.44,72.67,72.89,73.11,73.33,73.54,73.76,73.96,74.16,74.34,74.52,74.69,74.85,75.01,75.17,75.32,75.48,75.65,75.82,75.99,76.16
Life,ARM,65.86,66.28,66.71,67.14,67.57,67.99,68.41,68.83,69.23,69.60,69.92,70.18,70.37,70.48,70.53,70.53,70.53,70.54,70.58,70.64,70.68,70.66,70.54,70.29,69.94,69.50,69.02,68.57,68.18,67.90,67.75,67.74,67.85,68.07,68.38,68.76,69.22,69.72,70.24,70.77,71.28,71.76,72.20,72.61,72.97,73.29,73.55,73.76,73.95,74.10,74.23,74.34,74.45,74.56,74.68
Life,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life,ATG,61.78,62.20,62.60,62.99,63.38,63.76,64.13,64.49,64.84,65.19,65.53,65.86,66.19,66.51,66.82,67.13,67.43,67.73,68.02,68.31,68.59,68.87,69.14,69.41,69.67,69.93,70.18,70.43,70.68,70.92,71.16,71.40,71.63,71.87,72.09,72.32,72.54,72.76,72.97,73.19,73.40,73.61,73.82,74.02,74.23,74.43,74.62,74.80,74.98,75.15,75.31,75.47,75.62,75.78,75.94
