serno,qa1,qa2,qa3,qa4,qa5a,qa5b,qa5c,qa6,qa7a,qa7b,qa7c,qa7d,qa7e,qa8a,qa8b,qa8c,qa8d,qa8e,qa8f,qa8g,qa8h,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qb2a,qb2b,qb3,qb4,qb6a,qb6b,qb6c,qb6d,qb7a,qb7b,qb7c,qb8,qc1a,qc1b,qc1c,qc1d,qc2a,qc2b,qc2c,qc2d,qc2e,qc2f,qc3,qd1,qd3,qd4,qd5a,qd5b,qd5c,qe1,qe2,qe3,qe11,qe13,qe14,qe15
1001004,4,1,40,47,2,2,2,2,1,1,1,1,2,2,3,2,3,3,3,2,2,3,5,5,5,5,5,2,5,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,,,,,,2,5,2,13,3,1,1
1001004,1,3,40,40,2,3,2,1,2,2,4,4,3,4,4,4,2,4,4,2,3,3,2,2,3,3,3,3,3,6,2,2,1,1,1,2,2,2,3,2,1,1,1,1,1,1,2,4,2,1,3,,,,,,2,3,1,6,3,2,1
1001004,1,3,40,40,3,4,4,2,2,2,2,1,2,3,3,3,3,3,4,3,3,5,5,5,5,5,5,5,5,2,1,2,2,2,3,3,3,3,3,3,2,2,2,2,1,1,1,3,1,1,3,,,,,,2,4,1,8,3,2,1
1001004,2,1,40,40,4,4,1,4,1,1,1,1,1,2,1,2,2,2,2,1,2,5,5,5,5,5,5,5,5,4,3,1,1,1,2,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,3,,,,,,2,5,2,11,3,2,1
1001004,3,1,40,45,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,3,4,4,5,5,5,2,2,1,2,2,2,2,3,3,3,2,3,2,2,2,2,3,4,4,3,3,4,3,3,3,2,,,,2,6,1,12,3,2,1
1001004,5,1,40,45,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,2,3,5,3,5,5,5,2,4,1,2,3,3,3,2,3,3,3,3,2,2,1,2,3,3,3,2,3,3,2,3,,2,,,,2,6,2,12,3,2,1
1001004,5,1,40,45,2,2,2,3,2,2,1,1,1,2,2,2,3,3,2,2,2,3,4,4,5,5,5,3,4,1,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,4,4,3,1,3,3,,,,2,6,1,13,3,2,1
1001004,2,1,32,3,2,3,2,2,1,2,1,1,2,2,1,2,3,2,2,2,2,4,5,5,5,5,5,3,3,3,3,,,,,1,2,2,1,3,3,2,3,2,2,2,1,3,1,1,3,,2,,,,2,7,4,13,3,2,1
1001004,5,1,40,55,2,3,3,3,1,2,1,2,1,2,2,2,4,3,2,3,2,2,3,3,4,2,3,2,4,1,3,2,2,2,2,3,3,3,2,2,2,2,2,4,4,4,4,2,3,3,2,3,3,,,,1,7,2,14,3,5,1
1001007,1,3,38,46,1,2,3,2,3,3,2,2,1,3,3,3,2,1,4,3,2,3,5,3,5,5,5,2,4,4,1,2,4,3,,3,2,,3,2,2,2,2,2,2,2,2,1,3,2,3,3,1,2,,,2,4,2,9,1,1,1
1001007,5,1,37,37,3,2,2,1,2,2,1,2,1,2,2,2,2,3,2,2,2,3,5,3,4,4,5,3,5,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,1,2,,,2,5,3,10,1,1,1
1001007,4,1,36,38,2,2,2,4,2,2,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,3,4,5,5,4,2,2,2,3,3,2,3,,2,2,3,4,2,4,2,3,2,2,2,2,3,,1,,,,1,5,1,12,1,1,1
